DAY,STAGE,TIME,DURATION,ARTIST / BAND,LINK
"FRIDAY, 17.July",Outside Stage,18:00-18:30,30 min,JOACHIM IRMLER (FAUST),https://staubgold.bandcamp.com/album/lifelike
"FRIDAY, 17.July",Outside Stage,19:30-20:30,60 min,NO MORE,https://nomore.bandcamp.com/music
"FRIDAY, 17.July",Outside Stage,21:30-22:15,45 min,DIETRICH VON EULER-DONNERSPERG,https://nostalgiedelaboue.bandcamp.com/album/quelquechose-ii
"FRIDAY, 17.July",Venue Inside,17:00-18:00,60 min,IRSOL,https://irsol-sonic-archives-3ac9a371.base44.app/
"FRIDAY, 17.July",Venue Inside,18:30-19:30,60 min,O YUKI CONJUGATE,https://oyukiconjugate.bandcamp.com/
"FRIDAY, 17.July",Venue Inside,20:30-21:30,60 min,CRASH COURSE IN SCIENCE,https://crashcourseinscience.bandcamp.com/
"FRIDAY, 17.July",Venue Inside,22:45-24:00,75 min,HUNTING LODGE,https://huntinglodge.bandcamp.com/
"SAT., 18th July",Outside Stage,18:00-18:45,45 min,DAS SYNTHETISCHE MISCHGEWEBE,https://moremars.bandcamp.com/album/das-synthetische-mischgewebe-zwischenmenschen
"SAT., 18th July",Outside Stage,19:45-20:45,60 min,MARC HURTADO / LYDIA LUNCH,https://lydialunch.bandcamp.com/album/metempsychosis-reincarnate-the-music-of-alan-vega-suicide
"SAT., 18th July",Outside Stage,21:45-22:45,60 min,RAPOON,https://rapoon.bandcamp.com/
"SAT., 18th July",Venue Inside,17:00-18:00,60 min,NORMA LOY,https://normaloy.bandcamp.com/
"SAT., 18th July",Venue Inside,18:45-19:45,60 min,CLAIR OBSCUR,https://clairobscur.bandcamp.com/
"SAT., 18th July",Venue Inside,20:45-21:45,60 min,THE ANTI GROUP,https://tagctheantigroupcommunication.bandcamp.com/album/t-a-g-c-meontological-research-recording-record-2-teste-tones
"SAT., 18th July",Venue Inside,22:45-24:00,75 min,ESPLENDOR GEOMETRICO,https://esplendorgeometrico.bandcamp.com/music
"SUN, 19th July",Outside Stage,18:00-18:45,45 min,PLUS INSTRUMENTS,https://plusinstruments.bandcamp.com/
"SUN, 19th July",Outside Stage,19:45-20:30,45 min,PARADE GROUND,https://paradeground-official.bandcamp.com/
"SUN, 19th July",Outside Stage,21:30-22:15,40 min,ETANT DONNES,https://etant-donnes.bandcamp.com/album/le-paradis-blanc
"SUN., 19th July",Venue Inside,17:00-18:00,60 min,CLUB MORAL,https://clubmoral.bandcamp.com/
"SUN., 19th July",Venue Inside,18:45-19:45,60 min,BAND OF HOLY JOY,https://bandofholyjoy.bandcamp.com/
"SUN., 19th July",Venue Inside,20:30-21:30,60 min,ZOSKIA,https://coldspring.bandcamp.com/album/transparent-csr230cd
"SUN., 19th July",Venue Inside,22:15-24:00,75 min,SUTCLIFFE NO MORE,https://zoharum.bandcamp.com/album/cute
